,barcodes,ms_leiden_2.5,AIFI_L1,AIFI_L2,AIFI_L3
12806,77a5505efecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12807,77a708a4fecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12808,77a7bbaafecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12809,77a8d364fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12810,77a939eefecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Early memory B cell
12811,77abbe30fecf11eb83ae4a767d1dceb9,7,B cell ,Memory B cell,Core memory B cell
12812,77ac1f7efecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Core memory B cell
12813,77aed520fecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Core memory B cell
12814,77aff25cfecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12815,77b745defecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Core memory B cell
12816,77b8c620fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12817,77b99744fecf11eb83ae4a767d1dceb9,2,B cell ,Memory B cell,Core memory B cell
12818,77b9a680fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12819,77ba21e6fecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12820,77bcf696fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12821,16c581fefec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12822,16c5e0aefec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12823,16c6a200fec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12824,16cb8b4efec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12825,16cc04f2fec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12826,16cd4fb0fec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Type 2 polarized memory B cell
12827,16cf5706fec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12828,16cf5cecfec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12829,16d1219efec611ebb53be648bf1f31d0,8,B cell ,Memory B cell,Core memory B cell
12830,16d26f18fec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12831,16d36440fec611ebb53be648bf1f31d0,8,B cell ,Memory B cell,Core memory B cell
12832,16d38eb6fec611ebb53be648bf1f31d0,7,B cell ,Memory B cell,Core memory B cell
12833,16d42ef2fec611ebb53be648bf1f31d0,0,B cell ,Memory B cell,Core memory B cell
12834,16d4d8a2fec611ebb53be648bf1f31d0,16,B cell ,Memory B cell,Core memory B cell
12835,16d512fefec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12836,16d5c582fec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12837,16d7339afec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12838,16d746e6fec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12839,16d795a6fec611ebb53be648bf1f31d0,5,B cell ,Memory B cell,Core memory B cell
12840,16d89a50fec611ebb53be648bf1f31d0,11,B cell ,Memory B cell,Core memory B cell
12841,16d94432fec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12842,16de227cfec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12843,16de5706fec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12844,16dedaa0fec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Early memory B cell
12845,16dfea1cfec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12846,16e1249afec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12847,16e134eefec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12848,16e13610fec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12849,16e29a8cfec611ebb53be648bf1f31d0,8,B cell ,Memory B cell,Core memory B cell
12850,16e34e78fec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12851,16e4424cfec611ebb53be648bf1f31d0,9,B cell ,Memory B cell,Early memory B cell
12852,16e48accfec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12853,16e4fea8fec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12854,16e55088fec611ebb53be648bf1f31d0,8,B cell ,Memory B cell,Core memory B cell
12855,16e55e02fec611ebb53be648bf1f31d0,0,B cell ,Memory B cell,Core memory B cell
12856,16e59ffcfec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12857,16e5a4cafec611ebb53be648bf1f31d0,5,B cell ,Memory B cell,Core memory B cell
12858,16e670dafec611ebb53be648bf1f31d0,0,B cell ,Memory B cell,Core memory B cell
12859,16e6b4f0fec611ebb53be648bf1f31d0,11,B cell ,Memory B cell,Core memory B cell
12860,16e8158efec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12861,16e9b916fec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12862,16ea8814fec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12863,16eac3e2fec611ebb53be648bf1f31d0,5,B cell ,Memory B cell,Core memory B cell
12864,16ead2cefec611ebb53be648bf1f31d0,0,B cell ,Memory B cell,Core memory B cell
12865,16ed03c8fec611ebb53be648bf1f31d0,1,B cell ,Memory B cell,Core memory B cell
12866,16edc984fec611ebb53be648bf1f31d0,8,B cell ,Memory B cell,Core memory B cell
12867,16f01112fec611ebb53be648bf1f31d0,5,B cell ,Memory B cell,Core memory B cell
12868,16f0828cfec611ebb53be648bf1f31d0,7,B cell ,Memory B cell,Core memory B cell
12869,16f0cb02fec611ebb53be648bf1f31d0,6,B cell ,Memory B cell,Core memory B cell
12870,16f16d5afec611ebb53be648bf1f31d0,4,B cell ,Memory B cell,Core memory B cell
12871,16f1b274fec611ebb53be648bf1f31d0,7,B cell ,Memory B cell,Core memory B cell
